Device Name,Port,Description,PID,VID,SN
ARG-SF-01,HundredGigE0/0/0/0,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401AQ-B
ARG-SF-01,HundredGigE0/0/0/9,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A09Q
ARG-SF-01,FourHundredGigE0/0/0/10,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290871
ARG-SF-01,FourHundredGigE0/0/0/11,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230459
ARG-SF-01,FourHundredGigE0/0/0/12,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230452
ARG-SF-01,FourHundredGigE0/0/0/13,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290735
ARG-SF-01,FourHundredGigE0/0/0/14,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230373
ARG-SF-01,HundredGigE0/0/0/16,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V01,FNS211508J7
ARG-SF-01,HundredGigE0/0/0/17,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2111G1HT
ARG-SF-01,HundredGigE0/0/0/19,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401Y8-B
ARG-SF-01,HundredGigE0/0/0/22,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2146S2CD
ARG-SF-01,HundredGigE0/0/0/27,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC1M,V01,FIW204202XC-A
ARG-SF-01,FortyGigE0/0/0/30,Cisco QSFP+ 40G SR4 Pluggable Optics Module,QSFP-40G-SR4-S,V02,AVP2026S08B
ARG-SF-02,FourHundredGigE0/0/0/10,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290888
ARG-SF-02,FourHundredGigE0/0/0/11,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290546
ARG-SF-02,FourHundredGigE0/0/0/12,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290943
ARG-SF-02,FourHundredGigE0/0/0/13,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25230367
ARG-SF-02,FourHundredGigE0/0/0/14,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC25290859
ARG-SF-02,HundredGigE0/0/0/17,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2146S55N
ARG-SF-02,HundredGigE0/0/0/19,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401ET-B
ARG-SF-02,HundredGigE0/0/0/20,Cisco QSFP28 100G LR4 Pluggable Optics Module,QSFP-100G-LR4-S,V02,OPM23410N21
ARG-SF-02,HundredGigE0/0/0/27,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC1M,V01,FIW204202XC-B
ARE-93180-1,"""Chassis""","""Nexus9000 C93180YC-FX3 Chassis""",N9K-C93180YC-FX3,N/A,FDO25480L0P
ARE-93180-1,"""Slot 1""","""48x10/25G + 6x40/100G Ethernet Module""",N9K-C93180YC-FX3,N/A,FDO25480L0P
ARE-93180-1,"""Slot 27""","""48x10/25G + 6x40/100G Ethernet Module""",N9K-C93180YC-FX3,N/A,FDO25480L0P
ARE-93180-1,"""Power Supply 1""","""Nexus9000 C93180YC-FX3 Chassis Power Supply""",NXA-PAC-650W-PI,N/A,LIT2538A532
ARE-93180-1,"""Power Supply 2""","""Nexus9000 C93180YC-FX3 Chassis Power Supply""",NXA-PAC-650W-PI,N/A,LIT2538A529
ARE-93180-1,"""Fan 1""","""Nexus9000 C93180YC-FX3 Chassis Fan Module""",NXA-FAN-35CFM-PI,N/A,N/A
ARE-93180-1,"""Fan 2""","""Nexus9000 C93180YC-FX3 Chassis Fan Module""",NXA-FAN-35CFM-PI,N/A,N/A
ARE-93180-1,"""Fan 3""","""Nexus9000 C93180YC-FX3 Chassis Fan Module""",NXA-FAN-35CFM-PI,N/A,N/A
ARE-93180-1,"""Fan 4""","""Nexus9000 C93180YC-FX3 Chassis Fan Module""",NXA-FAN-35CFM-PI,N/A,N/A
ARE-93180-1,Ethernet1/4,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC15170B1G
ARE-93180-1,Ethernet1/5,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC1518078W
ARE-93180-1,Ethernet1/6,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC151800CK
ARE-93180-1,Ethernet1/7,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC15170AJ2
ARE-93180-1,Ethernet1/8,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC15170BNP
ARE-93180-1,Ethernet1/9,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC15170B6H
ARE-93180-1,Ethernet1/10,CISCO-OPLINK,SFP-10G-SR,N/A,OPM254117QM
ARE-93180-1,Ethernet1/11,CISCO-SUMITOMO,SFP-10G-SR,N/A,SPC15170BHN
ARE-93180-1,Ethernet1/12,CISCO-METHODE,GLC-T,N/A,MTC18350CNN
ARE-93180-1,Ethernet1/17,CISCO-FINISAR,SFP-10G-SR,N/A,FNS154326VD
ARE-93180-1,Ethernet1/18,CISCO-JDSU,SFP-10G-SR,N/A,JUR2020G07A
ARE-93180-1,Ethernet1/19,CISCO-JDSU,SFP-10G-SR,N/A,JUR18480E0U
ARE-93180-1,Ethernet1/20,CISCO-FINISAR,SFP-25G-SR-S,N/A,FNS231708UG
ARE-93180-1,Ethernet1/21,CISCO-FINISAR,SFP-25G-SR-S,N/A,FNS231709JL
ARE-93180-1,Ethernet1/49/1,CISCO,QSFP-40G-SR4,N/A,FIS180600HH
ARE-93180-1,Ethernet1/49/2,CISCO,QSFP-40G-SR4,N/A,FIS180600HH
ARE-93180-1,Ethernet1/49/3,CISCO,QSFP-40G-SR4,N/A,FIS180600HH
ARE-93180-1,Ethernet1/49/4,CISCO,QSFP-40G-SR4,N/A,FIS180600HH
ARE-93180-1,Ethernet1/50,CISCO-INNOLIGHT,QSFP-100G-SR4-S,N/A,INL2505KAPU
ARE-93180-1,Ethernet1/51,CISCO-FOIT,QSFP-40/100-SRBD,N/A,FOF2208N01Y
ARE-93180-1,Ethernet1/52,CISCO-FOIT,QSFP-40/100-SRBD,N/A,FOF2319N1W0
ARE-93180-1,Ethernet1/53,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2051G03C
ARE-93180-1,Ethernet1/54,CISCO-FINISAR,QSFP-100G-AOC10M,N/A,FIW214401DD-B
