Device Name,Port,Description,PID,VID,SN
ORC43,HundredGigE0/1/0/35,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2126G11J
ARG55a1-1,HundredGigE0/0/0/0,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2229S54R
ARG55a1-1,HundredGigE0/0/0/2,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V03,FTF2512N5UU
ARG55a1-1,HundredGigE0/0/0/3,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V03,FTF2512N9EN
ARG55a1-1,HundredGigE0/0/0/5,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V02,FTF2416N3SJ
ARG55a1-1,HundredGigE0/0/0/9,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V04,DPZ2648B093-B
ARG55a1-1,HundredGigE0/0/0/10,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A0DF
ARG55a1-1,HundredGigE0/0/0/11,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A04Q
ARG55a1-1,HundredGigE0/0/0/12,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2217N50F
ARG55a1-1,HundredGigE0/0/0/13,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW21440215-B
ARG55a1-1,HundredGigE0/0/0/14,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401BT-A
ARG55a1-1,HundredGigE0/0/0/15,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2208N1NT
ARG55a1-1,HundredGigE0/0/0/16,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2210N0DW
ARG55a1-1,HundredGigE0/0/0/17,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2210N1LB
ARG55a1-1,HundredGigE0/0/0/18,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2319N1XA
ARG55a1-1,FortyGigE0/0/0/24,Cisco QSFP+ 40G SR4 Pluggable Optics Module,QSFP-40G-SR4,V02,AVP1951S0CQ
ARG55a1-1,HundredGigE0/0/0/26,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2319N1Z6
ARG55a1-1,HundredGigE0/0/0/30,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A03Q
ARG55a1-1,HundredGigE0/0/0/31,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2627A03J
ARG55a1-1,HundredGigE0/0/0/32,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2212S0PG
ORC44,FourHundredGigE0/0/0/1,Cisco QSFPDD 400G FR4 Pluggable Optics Module,QDD-400G-FR4-S,V01,CGC26250480
ORC44,HundredGigE0/1/0/0,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V02,FTM2401N1KD
ORC44,HundredGigE0/1/0/1,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V03,FTF2512N5U9
ORC44,HundredGigE0/1/0/11,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V01,AVF2124G292
ORC44,HundredGigE0/1/0/20,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2611A2U9
ORC44,HundredGigE0/1/0/21,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A0W9
ORC44,HundredGigE0/1/0/32,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW21440225-A
